plot_id,tree_id,tree_tag,genus,species,name,dbh_cm,dfc_m,ord,ba,count,
A3-01,A3-1-13-01092,1092,Liriodendron,tulipfera,Liriodendron tulipfera,30.4,3.3,95,725.8329536,1,
A3-01,A3-1-13-01091,1091,Liriodendron,tulipfera,Liriodendron tulipfera,58.5,6.4,73,2687.826594,1,
A3-01,A3-1-13-01090,1090,Liriodendron,tulipfera,Liriodendron tulipfera,55,11.3,57,2375.827438,1,
A3-01,A3-1-13-01085,1085,Liriodendron,tulipfera,Liriodendron tulipfera,78,8.9,322,4778.35839,1,
A3-01,A3-1-13-01083,1083,Liriodendron,tulipfera,Liriodendron tulipfera,53.7,3.3,226,2264.842917,1,
A3-01,A3-1-13-01078,1078,Liriodendron,tulipfera,Liriodendron tulipfera,39,13.4,169,1194.589598,1,
A3-01,A3-1-13-01081,1081,Pinus,virginiana,Pinus virginiana,37,6.1,195,1075.209178,1,
A3-01,A3-1-13-01080,1080,Prunus,serotina,Prunus serotina,19.7,6.3,198,304.8049158,1,
A3-01,A3-1-13-01079,1079,Prunus,serotina,Prunus serotina,28.4,6.2,167,633.4702076,1,
A3-01,A3-1-13-01077,1077,Prunus,serotina,Prunus serotina,28.6,12.8,179,642.4237391,1,
A3-02,A3-02--01838,1838,Betula,lenta,Betula lenta,4.8,2.5,270,18.0955584,1,
A3-02,A3-02--01836,1836,Juniperus,virginiana,Juniperus virginiana,21.8,5.8,290,373.2523079,1,
A3-02,A3-02--01828,1828,Juniperus,virginiana,Juniperus virginiana,24.7,7,195,479.1631608,1,
A3-02,A3-02--01824,1824,Juniperus,virginiana,Juniperus virginiana,32.7,12.5,195,839.8176928,1,
A3-02,A3-02--01823,1823,Juniperus,virginiana,Juniperus virginiana,21.8,9.5,172,373.2523079,1,
A3-02,A3-02--01820,1820,Juniperus,virginiana,Juniperus virginiana,39,15,111,1194.589598,1,
A3-02,A3-02--01811,1811,Juniperus,virginiana,Juniperus virginiana,22.5,8.8,20,397.6074844,1,
A3-02,A3-02--01807,1807,Juniperus,virginiana,Juniperus virginiana,14.7,12.6,24,169.7165458,1,
A3-02,A3-02--01832,1832,Juniperus,virginiana,Juniperus virginiana,10.8,14.9,352,91.6087644,1,
A3-02,A3-02--01816,1816,Cornus,florida,Cornus florida,5.9,15.8,63,27.33968698,1,
A3-02,A3-02--01831,1831,Carya,tomentosa,Carya tomentosa,5.1,1.6,187,20.42818898,1,
A3-02,A3-02--01813,1813,Carya,tomentosa,Carya tomentosa,9.7,9.4,55,73.89805078,1,
A3-02,A3-02--01812,1812,Carya,tomentosa,Carya tomentosa,5.8,12.2,35,26.4207719,1,
A3-02,A3-02--01815,1815,Carya,ovata,Carya ovata,45.9,5,60,1654.683307,1,
A3-02,A3-02--01814,1814,Carya,ovata,Carya ovata,10.3,4.4,58,83.32282078,1,
A3-02,A3-02--01837,1837,Acer,rubrum,Acer rubrum,28,5,284,615.75164,1,
A3-02,A3-02--01830,1830,Acer,rubrum,Acer rubrum,14.5,4.5,190,165.1298244,1,
A3-02,A3-02--01829,1829,Acer,rubrum,Acer rubrum,6.3,5.7,193,31.17242678,1,
A3-02,A3-02--01827,1827,Acer,rubrum,Acer rubrum,8.3,9,208,54.10603378,1,
A3-02,A3-02--01826,1826,Acer,rubrum,Acer rubrum,25.9,10.5,208,526.852497,1,
